Unnamed: 0,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,trans_num,unix_time,merch_lat,merch_long,age,hour,day,month,is_fraud
72600,4204237326785494,373,5,201.7687397526817,233,163,0,449,868,14,62896,37.8979,-88.9307,12626,480,506846,1329029674,38.06046484921344,-88.438165560925,29,6,1,2,1
112486,2657850734909997,92,0,373.69182290152673,3,205,1,39,213,22,48206,42.3749,-83.1087,673342,480,372341,1330890099,42.25478857639967,-82.65274272806846,79,19,0,3,1
522743,4555104582813474,51,11,940.3435492649082,70,97,1,26,704,38,18246,40.954,-76.1747,143,218,502840,1344836679,40.65541315234832,-76.57961442138253,43,22,0,8,1
193191,4450831335606294,426,8,6.05,108,102,0,687,152,36,74536,34.5906,-95.38,1760,316,581460,1333985036,34.48875,-95.561987,53,15,1,4,0
1042866,3528040995648998,60,5,182.0013595146356,336,45,0,3,896,40,29180,34.381,-81.109,14267,429,1132251,1362773809,34.05501237666119,-80.51833344961283,62,5,2,3,1
118494,4824023901222438,575,9,49.87064605380012,73,311,0,116,116,43,76631,31.9907,-96.9837,522,94,257302,1331180265,32.1817703792235,-97.43129959094992,79,22,3,3,1
530878,4294930380592,498,8,790.9842534861215,250,366,0,197,129,45,24070,37.3696,-80.1284,1363,183,376940,1345155843,37.03572664694878,-79.65408547238576,85,22,4,8,1
1029301,374930071163758,479,6,574.3652629280843,92,121,1,626,712,22,48174,42.2203,-83.3583,31515,347,725149,1362234909,41.41227161496936,-83.17012607835449,54,14,0,3,1
1005382,3513618443244549,502,11,9.99,11,341,0,958,277,41,57340,43.7588,-97.8712,355,195,1507705,1361065242,43.157104,-97.432648,70,1,0,2,0
897112,180068353086472,18,8,18.350867700248685,241,134,0,766,370,4,92648,33.6773,-118.0051,190249,470,1051242,1356492607,33.045722543848804,-117.95681915529,49,2,3,12,1
254623,581293083266,137,9,34.68,351,428,1,412,426,36,73754,36.385,-98.0727,1078,346,823828,1379841610,37.107357,-98.459654,36,9,1,9,0
239620,6538891242532018,35,10,27.32,173,375,0,593,846,2,72476,36.0244,-90.9288,7155,162,1087826,1335738354,35.098732,-90.867885,48,22,0,4,0
1051271,4501449508569485,434,11,1088.2318645601115,266,445,1,227,266,41,57439,45.32899999999999,-98.0837,52,49,1162355,1363047231,45.89002626476533,-98.0440176806574,35,18,2,3,1
81031,4755696071492,50,7,25.38,284,123,1,19,723,43,75048,32.9643,-96.6012,20328,424,539362,1329505666,33.298158,-96.934556,40,19,6,2,0
1036580,4195740185974,556,10,3.17,33,372,1,71,666,37,97210,45.5303,-122.7033,841711,158,1690984,1362513830,45.31558,-122.975008,62,20,3,3,0
892268,4189814094741,680,6,12.81,159,126,1,348,682,1,35131,33.7367,-86.1619,4159,146,1032491,1356364338,33.446172,-86.459007,27,15,1,12,0
22443,38580485618059,488,2,44.36,326,76,0,126,581,28,58765,48.8856,-103.0098,248,245,1430585,1326532464,49.816354,-103.843769,57,9,0,1,0
442530,180018375329178,366,10,31.12,248,479,0,955,555,22,49259,42.3703,-84.2485,2523,215,1513329,1342384706,42.834119,-83.614501,37,20,0,7,0
148995,4335531783520911,520,4,304.27381183744023,12,99,0,859,622,24,65066,38.3511,-91.4867,6703,309,941294,1376260921,38.03739955283871,-91.82912292186404,27,2,1,8,1
25583,4745996322265,555,11,31.46,62,457,0,623,411,15,46346,41.4802,-86.6919,1423,373,52067,1372540021,42.323978,-86.1925,27,21,0,6,0
1175919,213163860545705,85,5,447.6547601810167,231,435,1,833,41,10,30803,33.141,-82.515,741,86,1081663,1367786496,32.596991205814206,-81.97735295735868,39,10,1,5,1
1163277,36913587729122,607,2,56.3,13,277,0,465,507,13,83646,43.6498,-116.4306,84106,252,65111,1367305575,43.690128,-115.865932,54,7,3,4,0
99654,4783226709001,107,2,52.43,168,153,0,124,497,16,67556,38.5957,-99.554,320,194,1828554,1330419883,38.305371,-99.560284,64,9,3,2,0
918792,4488258847705225728,469,7,52.41,168,399,0,587,864,40,29170,33.9568,-81.1405,52126,72,1776957,1356874171,34.936675,-81.734439,96,13,0,12,0
522844,3576281490078437,377,13,496.46,70,110,1,923,889,15,47470,38.7735,-86.6285,1735,195,1742376,1387903322,38.692538,-86.61699499999999,35,16,3,12,0
909052,3511378610369890,515,5,19.17,154,88,1,675,371,1,35811,34.7789,-86.5438,190178,462,1537421,1356732936,34.0199,-85.99571800000001,52,22,5,12,1
573947,3592931352252641,642,1,4.56,114,153,1,927,3,23,55001,44.8696,-92.8234,2916,45,530813,1346457253,45.60806,-93.016648,90,23,5,8,0
1183971,2229824890647120,31,11,912.26,346,36,1,464,641,25,39572,30.2508,-89.6011,1414,472,1411261,1368141692,30.266569,-88.89880500000001,67,23,5,5,1
46288,630423337322,329,4,89.38,312,161,0,439,619,47,99160,48.8878,-118.2105,149,431,1660636,1373158454,48.938603,-117.512922,47,0,1,7,0
738094,4710826438164847616,92,2,74.17,183,191,1,985,823,26,59542,48.8328,-108.3961,192,206,1851073,1352633398,48.430597,-107.735667,61,11,0,11,0
206221,180052752563109,264,5,426.7023564376121,125,389,1,973,27,45,22204,38.859,-77.0997,207410,227,286834,1378031545,38.3149250527251,-76.93977541229474,57,10,1,9,1
12536,676173792455,678,4,98.84,50,90,0,73,736,4,90403,34.0287,-118.4924,92043,85,496029,1326001266,34.606818,-118.763664,64,5,1,1,0
506048,6540981358631302,20,4,94.01,53,431,1,150,213,22,48221,42.426,-83.15,673342,401,623640,1387596997,42.779258,-82.76734599999999,58,3,0,12,0
816237,213126662687660,661,8,28.15,75,257,1,237,437,43,78040,27.5155,-99.4986,248858,486,200428,1354942560,27.970548,-99.868705,54,4,6,12,0
493045,30407675418785,331,1,1.17,93,123,0,785,93,34,14816,42.1939,-76.7361,520,375,1530326,1344003488,42.793932,-77.415196,34,14,5,8,0
1025648,180046617132290,22,12,5.53,123,265,0,81,293,14,62939,37.575,-88.9655,3119,455,1722874,1362128568,37.85151,-89.92495699999999,83,9,6,3,0
89379,6011693194885790,74,10,6.78,344,133,0,285,782,23,55080,45.6675,-93.2433,2607,266,1525092,1374441099,46.043667,-94.136373,30,21,1,7,0
891125,6517779374888867,620,8,842.7596020552545,165,320,1,802,710,2,72135,34.8829,-92.5192,2623,228,798116,1356329438,35.27987062840604,-92.0558914036236,59,22,0,12,1
1111889,502012776709,31,11,609.19,306,264,0,140,285,34,13342,42.6315,-75.1866,165,309,1467121,1365333539,42.958493,-76.022642,80,11,1,4,0
227921,6011329966782895,660,7,74.67,216,54,0,27,821,36,74131,36.0557,-96.0602,413574,456,1607197,1335356619,36.684541,-95.618031,54,12,3,4,0
509291,30030380240193,256,11,98.35,351,217,1,517,328,43,78631,30.2816,-99.241,2395,336,1229150,1344492805,29.530877,-99.157797,32,6,4,8,0
305751,3501942333500073,391,6,510.7147704347449,223,33,0,78,651,3,85086,33.8155,-112.1202,1312922,112,678105,1381770002,33.320794809885754,-112.04059174254397,26,8,2,10,1
343258,501828204849,585,9,116.82476654589868,294,101,0,324,214,16,67038,37.1641,-96.6917,602,56,1500650,1339340412,36.85248189192435,-97.05802860630432,67,14,0,6,1
663057,4254074738931278,515,5,4.85,132,178,1,698,11,34,14707,42.0737,-78.0594,239,387,1801472,1349800573,42.292184000000006,-78.744264,69,16,2,10,0
449167,4319584480204988928,564,10,28.05,195,310,0,9,185,17,41810,37.1788,-82.695,502,75,1791239,1342650194,37.962088,-83.13274799999999,65,22,3,7,0
782546,6011542681743618,658,7,29.98,119,178,0,893,51,45,22810,38.8089,-78.7776,863,169,479709,1354303855,37.956681,-79.49521899999999,53,19,5,11,0
208615,4509142395811241,336,4,321.06,227,472,0,163,798,10,31563,31.6489,-82.1982,1324,174,665177,1378087798,32.210633,-82.520945,99,2,2,9,1
455799,2712209726293386,311,11,45.59,163,47,0,522,52,18,70808,30.4066,-91.1468,378909,123,1738756,1386600610,29.700817,-91.160734,48,14,2,12,0
192442,343819048608995,167,0,6.92,304,61,0,153,211,12,50312,41.5855,-93.6719,222785,495,802459,1333935110,41.29806,-93.887043,69,1,1,4,0
17572,3573386445588324,595,0,358.71839575236345,312,307,0,534,47,41,57426,45.7205,-98.5534,63,447,226758,1372339388,44.845272361387934,-98.81404269567317,56,12,5,6,1
115908,571365235126,17,12,6.89,30,425,0,6,243,22,49628,44.5995,-86.2141,372,189,1372770,1331060839,44.084046,-85.365374,30,19,2,3,0
363464,4951647200979051,469,7,6.6,205,292,0,774,456,14,62856,37.9943,-88.9417,324,417,902632,1339954813,37.271019,-89.468016,49,17,0,6,0
87207,639023984367,229,2,52.7,104,256,0,813,325,34,13647,44.6087,-74.9732,69,74,387632,1374396530,45.339033,-74.018495,34,8,1,7,0
781234,38295635583927,66,7,115.78,57,48,0,942,600,43,79539,33.3749,-99.8473,178,489,1401495,1354286478,33.596022999999995,-99.654707,42,14,5,11,0
224010,570273151375,448,9,881.8804837530006,269,117,1,972,11,10,31003,32.6064,-83.2095,112,267,383916,1378669492,32.74287341184817,-82.86451453657565,60,19,1,9,1
150092,372520049757633,184,2,50.4630551386226,223,357,0,436,684,23,56668,48.6031,-93.2977,136,65,619344,1332391455,47.93221792040653,-92.5049927124504,25,3,4,3,1
214706,4933461930348832,76,8,882.5358409050875,280,67,1,525,519,23,55403,44.9673,-93.2828,1022298,72,853115,1334873443,44.24430818358952,-93.51153467547353,49,22,4,4,1
319745,6511349151405438,292,13,8.25,284,313,1,763,722,33,89319,39.3426,-114.8859,450,254,231418,1382293070,40.249694,-114.111027,79,18,1,10,0
839062,4904681492230012,548,2,50.58,222,256,0,585,176,34,12419,41.8467,-74.1038,722,102,1547551,1355393629,41.870823,-74.37644300000001,35,10,4,12,0
1096257,3592325941359225,277,6,539.176855425765,27,372,0,99,360,45,23860,37.2876,-77.295,31970,382,1144808,1364735686,36.97763204251181,-77.76397168849238,90,12,1,3,1
941905,6506982560413523,376,6,155.68719859294308,5,229,0,56,805,2,71854,33.431,-93.8765,36438,440,703745,1357905685,33.32539429631707,-93.83744184253268,40,22,4,1,1
1211925,4239436242473,409,11,809.614704800509,154,248,1,837,9,45,22311,38.832,-77.12,321490,411,470045,1369178787,38.19287800879382,-77.10170900574998,34,21,3,5,1
360620,571314334723,108,2,95.07046550932772,223,284,0,469,496,38,15458,39.8882,-79.8694,2379,406,1088644,1339888487,40.19427063465319,-80.11326927306558,54,1,0,6,1
844692,676326610042,264,7,110.8,153,58,0,553,702,22,48193,42.1782,-83.2461,15623,496,987468,1355500866,42.388534,-82.878825,32,16,5,12,0
919960,2283743876903625,515,5,43.07,300,472,0,936,12,10,30009,34.077,-84.3033,165556,353,7298,1356888001,33.761195,-84.9465,28,17,0,12,0
201236,342319985983023,86,4,120.49,53,355,1,651,485,34,12455,42.1852,-74.6178,1988,181,1242104,1377924501,42.352952,-75.28968499999999,47,4,0,8,0
